"categoria";"temps"
"CATEGORIA C M";"00:34:53"
"CATEGORIA C M";"00:34:57"
"CATEGORIA C M";"00:35:10"
"CATEGORIA B M";"00:36:09"
"CATEGORIA B M";"00:36:39"
"CATEGORIA C M";"00:36:55"
"CATEGORIA C M";"00:37:09"
"CATEGORIA B M";"00:37:18"
"CATEGORIA C M";"00:37:40"
"CATEGORIA C M";"00:37:44"
"CATEGORIA B M";"00:37:48"
"CATEGORIA C M";"00:38:04"
"CATEGORIA B M";"00:38:07"
"CATEGORIA C M";"00:38:14"
"CATEGORIA C M";"00:38:21"
"CATEGORIA B M";"00:38:50"
"CATEGORIA C M";"00:38:57"
"CATEGORIA B M";"00:38:59"
"CATEGORIA C M";"00:39:03"
"CATEGORIA C M";"00:39:08"
"CATEGORIA C M";"00:39:19"
"CATEGORIA C M";"00:39:25"
"CATEGORIA B M";"00:39:30"
"CATEGORIA C M";"00:39:32"
"CATEGORIA C M";"00:39:41"
"CATEGORIA C M";"00:39:41"
"CATEGORIA C M";"00:39:50"
"CATEGORIA C M";"00:39:53"
"CATEGORIA C M";"00:40:12"
"CATEGORIA C M";"00:40:12"
"CATEGORIA B M";"00:40:19"
"CATEGORIA C M";"00:40:28"
"CATEGORIA C M";"00:40:32"
"CATEGORIA B M";"00:40:39"
"CATEGORIA C M";"00:40:41"
"CATEGORIA C M";"00:40:43"
"CATEGORIA B M";"00:40:48"
"CATEGORIA C M";"00:40:50"
"CATEGORIA C M";"00:40:51"
"CATEGORIA C M";"00:40:59"
"CATEGORIA C M";"00:41:04"
"CATEGORIA C M";"00:41:11"
"CATEGORIA C M";"00:41:13"
"CATEGORIA C M";"00:41:21"
"CATEGORIA B M";"00:41:24"
"CATEGORIA C M";"00:41:26"
"CATEGORIA C M";"00:41:28"
"CATEGORIA B M";"00:41:30"
"CATEGORIA C M";"00:41:31"
"CATEGORIA C F";"00:41:33"
"CATEGORIA C M";"00:41:33"
"CATEGORIA C M";"00:41:40"
"CATEGORIA C F";"00:41:41"
"CATEGORIA C M";"00:41:42"
"CATEGORIA C M";"00:41:47"
"CATEGORIA C M";"00:41:49"
"CATEGORIA C M";"00:41:54"
"CATEGORIA C M";"00:42:00"
"CATEGORIA C M";"00:42:00"
"CATEGORIA C M";"00:42:04"
"CATEGORIA C M";"00:42:08"
"CATEGORIA C M";"00:42:13"
