"member_id";"longitude";"latitude";"elevation";"time"
12;-3,804121;37,778301;543,608;2023-03-01 20:03:45
12;-3,804026;37,7783;543,494;2023-03-01 20:03:51
12;-3,803717;37,778299;542,864;2023-03-01 20:04:11
12;-3,803409;37,778269;542,281;2023-03-01 20:04:28
12;-3,803264;37,778259;542,017;2023-03-01 20:04:38
12;-3,803006;37,778238;541,21;2023-03-01 20:04:55
12;-3,802773;37,778197;540,463;2023-03-01 20:05:08
12;-3,802587;37,778171;540,441;2023-03-01 20:05:17
12;-3,802349;37,778161;540,288;2023-03-01 20:05:29
12;-3,802171;37,778187;539,664;2023-03-01 20:05:38
12;-3,801682;37,778198;538,294;2023-03-01 20:05:59
12;-3,801401;37,778135;537,682;2023-03-01 20:06:14
12;-3,801223;37,778105;537,257;2023-03-01 20:06:22
12;-3,800971;37,778055;537,262;2023-03-01 20:06:33
12;-3,800686;37,777996;536,853;2023-03-01 20:06:44
12;-3,800471;37,77799;536,414;2023-03-01 20:06:54
12;-3,800108;37,777979;535,675;2023-03-01 20:07:12
12;-3,800017;37,777962;535,21;2023-03-01 20:07:18
12;-3,799757;37,777903;534,891;2023-03-01 20:07:31
12;-3,799492;37,77787;534,636;2023-03-01 20:07:43
12;-3,799183;37,777841;534,618;2023-03-01 20:07:54
12;-3,79899;37,777808;534,056;2023-03-01 20:08:01
12;-3,798779;37,777776;533,025;2023-03-01 20:08:11
12;-3,798393;37,777771;532,448;2023-03-01 20:08:30
12;-3,7981;37,77773;531,693;2023-03-01 20:08:41
12;-3,79792;37,777693;531,459;2023-03-01 20:08:49
12;-3,79759;37,777676;531,011;2023-03-01 20:09:02
12;-3,797247;37,777673;530,296;2023-03-01 20:09:15
12;-3,796899;37,777672;530,263;2023-03-01 20:09:30
12;-3,796643;37,777651;529,238;2023-03-01 20:09:41
12;-3,796451;37,777635;528,853;2023-03-01 20:09:51
12;-3,796124;37,777606;528,035;2023-03-01 20:10:06
12;-3,795814;37,777594;527,208;2023-03-01 20:10:19
12;-3,795548;37,777546;526,886;2023-03-01 20:10:31
12;-3,795261;37,77753;526,467;2023-03-01 20:10:44
12;-3,794998;37,777496;526,483;2023-03-01 20:10:55
12;-3,794759;37,777437;526,498;2023-03-01 20:11:04
12;-3,794575;37,777417;526,446;2023-03-01 20:11:12
12;-3,794166;37,777362;525,403;2023-03-01 20:11:27
12;-3,794002;37,777374;525,408;2023-03-01 20:11:35
12;-3,793626;37,777334;525,089;2023-03-01 20:11:52
12;-3,793329;37,777287;524,67;2023-03-01 20:12:05
12;-3,793099;37,777261;524,298;2023-03-01 20:12:16
12;-3,792914;37,777235;524,091;2023-03-01 20:12:26
12;-3,792735;37,777201;523,872;2023-03-01 20:12:35
12;-3,79239;37,777158;523,608;2023-03-01 20:12:50
12;-3,792212;37,777122;523,01;2023-03-01 20:12:58
12;-3,792079;37,777103;522,659;2023-03-01 20:13:03
12;-3,791896;37,777077;521,681;2023-03-01 20:13:11
12;-3,791632;37,777069;520,687;2023-03-01 20:13:20
12;-3,791387;37,777084;520,25;2023-03-01 20:13:30
12;-3,79098;37,77709;515,814;2023-03-01 20:13:52
12;-3,790706;37,777022;515,208;2023-03-01 20:14:21
12;-3,790084;37,777243;515,277;2023-03-01 20:14:53
12;-3,788951;37,777155;515,46;2023-03-01 20:15:15
12;-3,788735;37,777231;516,841;2023-03-01 20:15:25
12;-3,788635;37,777284;517,415;2023-03-01 20:15:30
12;-3,78848;37,777355;518,208;2023-03-01 20:15:38
12;-3,788175;37,777456;518,819;2023-03-01 20:15:53
12;-3,787899;37,77753;517,677;2023-03-01 20:16:06
12;-3,787578;37,777643;516,82;2023-03-01 20:16:21
12;-3,787305;37,777755;515,892;2023-03-01 20:16:35
12;-3,787087;37,77782;515,273;2023-03-01 20:16:44
12;-3,786775;37,77793;514,682;2023-03-01 20:16:59
12;-3,786656;37,77797;514,241;2023-03-01 20:17:05
12;-3,786337;37,778066;513,019;2023-03-01 20:17:20
12;-3,786134;37,778126;512,249;2023-03-01 20:17:29
12;-3,78596;37,778179;512,285;2023-03-01 20:17:37
12;-3,785654;37,778307;511,247;2023-03-01 20:17:52
12;-3,785428;37,778394;510,811;2023-03-01 20:18:03
12;-3,78525;37,778357;510,015;2023-03-01 20:18:13
12;-3,785228;37,77824;510,226;2023-03-01 20:18:20
12;-3,785248;37,778058;511,062;2023-03-01 20:18:32
12;-3,785272;37,777918;511,675;2023-03-01 20:18:41
12;-3,785315;37,777755;512,468;2023-03-01 20:18:52
12;-3,785336;37,777566;513,816;2023-03-01 20:19:06
12;-3,785359;37,777443;514,608;2023-03-01 20:19:13
12;-3,785403;37,777287;515,418;2023-03-01 20:19:23
12;-3,785481;37,777229;516,24;2023-03-01 20:19:28
12;-3,785539;37,776994;517,211;2023-03-01 20:19:43
12;-3,78555;37,776852;518,219;2023-03-01 20:19:53
12;-3,785542;37,776656;519,232;2023-03-01 20:20:04
12;-3,785542;37,776482;520,667;2023-03-01 20:20:15
12;-3,785557;37,776308;521,619;2023-03-01 20:20:27
12;-3,785615;37,776175;522,689;2023-03-01 20:20:36
12;-3,785662;37,776023;523,816;2023-03-01 20:20:47
12;-3,785713;37,775869;524,869;2023-03-01 20:21:01
12;-3,785682;37,775624;526,207;2023-03-01 20:21:16
12;-3,785688;37,775534;527,008;2023-03-01 20:21:21
12;-3,785788;37,775234;529,026;2023-03-01 20:21:42
12;-3,785795;37,775072;530,225;2023-03-01 20:21:59
12;-3,785808;37,774878;531,208;2023-03-01 20:22:10
12;-3,785827;37,774677;531,808;2023-03-01 20:22:20
12;-3,785837;37,774609;532,085;2023-03-01 20:22:25
12;-3,785851;37,774505;532,844;2023-03-01 20:22:35
12;-3,785781;37,774291;534,042;2023-03-01 20:22:44
12;-3,785744;37,774064;535,065;2023-03-01 20:22:56
12;-3,78574;37,773981;535,612;2023-03-01 20:23:01
12;-3,785746;37,773915;536,038;2023-03-01 20:23:07
12;-3,785768;37,773824;536,895;2023-03-01 20:23:16
12;-3,78585;37,773575;537,623;2023-03-01 20:23:30
12;-3,785904;37,773422;538,208;2023-03-01 20:23:39
12;-3,785944;37,773276;539,451;2023-03-01 20:23:50
12;-3,785978;37,773193;540,219;2023-03-01 20:24:02
12;-3,786012;37,772971;541,489;2023-03-01 20:24:15
12;-3,786067;37,772746;542,424;2023-03-01 20:24:26
12;-3,786085;37,772645;542,804;2023-03-01 20:24:32
12;-3,786112;37,772504;543,808;2023-03-01 20:24:41
12;-3,786128;37,772384;544,655;2023-03-01 20:24:51
12;-3,78614;37,772317;545,014;2023-03-01 20:24:56
12;-3,786197;37,772237;545,872;2023-03-01 20:25:04
12;-3,786371;37,772192;546,642;2023-03-01 20:25:15
12;-3,786443;37,77217;547,218;2023-03-01 20:25:21
12;-3,786376;37,771934;548,42;2023-03-01 20:25:36
12;-3,786365;37,771734;549,008;2023-03-01 20:25:47
12;-3,786357;37,771528;549,616;2023-03-01 20:25:59
12;-3,786357;37,771395;550,662;2023-03-01 20:26:06
12;-3,78639;37,771186;551,865;2023-03-01 20:26:19
12;-3,786459;37,771033;552,468;2023-03-01 20:26:31
12;-3,786469;37,770919;552,877;2023-03-01 20:26:38
12;-3,786426;37,770827;553,261;2023-03-01 20:26:44
12;-3,786423;37,770673;554,608;2023-03-01 20:26:55
12;-3,786422;37,770569;555,099;2023-03-01 20:27:03
12;-3,786411;37,770468;555,651;2023-03-01 20:27:08
