cognom;freq1;freq2;fre1i2
GARCIA;1455085;1474331;77030
RODRIGUEZ;927670;937892;41849
GONZALEZ;924321;933269;40203
FERNANDEZ;905914;916827;49866
LOPEZ;868164;876446;33508
MARTINEZ;830245;837004;37748
SANCHEZ;815181;825024;33504
PEREZ;776532;789741;25567
GOMEZ;491345;495202;13399
MARTIN;482916;481168;20294
JIMENEZ;395500;395788;21928
HERNANDEZ;368058;371719;15070
RUIZ;366188;370280;8364
DIAZ;341845;342893;8192
MORENO;321129;322833;10005
MUÑOZ;281991;282689;6552
ALVAREZ;279515;278973;9357
ROMERO;222681;222969;4446
GUTIERREZ;195405;197490;3789
ALONSO;193403;191798;4507
NAVARRO;177189;174939;3386
TORRES;172342;171358;3865
DOMINGUEZ;157105;158449;3234
RAMOS;146038;145667;2224
VAZQUEZ;145921;145286;3387
RAMIREZ;142804;143877;2671
GIL;139154;138798;2027
SERRANO;130646;130816;1870
MORALES;122520;123179;1834
MOLINA;122479;122647;2041
BLANCO;121977;122089;1787
SUAREZ;120627;122391;3195
CASTRO;117773;118067;1770
ORTEGA;117622;116975;1499
DELGADO;117413;117667;1601
ORTIZ;109041;110366;1385
MARIN;105141;102625;1646
RUBIO;103400;103818;1360
NUÑEZ;91953;91860;1458
SANZ;91000;89635;2163
MEDINA;90483;90402;1551
IGLESIAS;87615;87381;1499
CASTILLO;87432;87833;1361
CORTES;86901;86928;5913
GARRIDO;84709;85749;1278
SANTOS;84249;84786;1065
GUERRERO;79985;80678;973
LOZANO;79647;79769;1222
CANO;77040;76935;1349
MENDEZ;73876;75006;1440
CRUZ;73846;75290;950
PRIETO;72874;71906;971
FLORES;72794;73571;1809
HERRERA;71823;72030;1186
PEÑA;70224;70973;1072
LEON;70086;70230;980
MARQUEZ;69925;70034;920
CABRERA;69285;69047;1389
GALLEGO;68943;69011;758
CALVO;68649;69075;991
VIDAL;67903;66745;948
CAMPOS;66657;66860;827
REYES;65085;65667;1372
VEGA;65029;65422;988
FUENTES;64373;65102;602
CARRASCO;63047;62744;718
DIEZ;61355;62221;1185
AGUILAR;60845;60593;670
CABALLERO;60778;62485;803
NIETO;60016;59875;688
SANTANA;58265;59672;3486
PASCUAL;56840;55607;636
HERRERO;56635;54940;783
VARGAS;56533;56143;1805
GIMENEZ;56401;59163;2942
MONTERO;56322;55859;669
HIDALGO;56243;57228;624
LORENZO;55783;56037;947
SANTIAGO;54624;53959;3587
IBAÑEZ;54388;53847;566
DURAN;54278;54311;582
BENITEZ;54243;54751;759
FERRER;53598;53392;705
ARIAS;53508;53472;803
MORA;53417;52764;640
CARMONA;52127;53022;905
VICENTE;51687;51400;1031
ROJAS;49154;49214;713
SOTO;48964;48689;432
CRESPO;48926;48641;709
ROMAN;48440;46839;552
PASTOR;47164;47129;604
VELASCO;46602;46113;544
PARRA;46256;46558;889
SAEZ;46200;46829;704
MOYA;45531;45812;609
BRAVO;45049;45317;533
SOLER;44781;43856;479
GALLARDO;44694;44398;585
RIVERA;44465;44235;457
ESTEBAN;44209;43373;503
PARDO;43348;42347;961
SILVA;43296;43840;1164
FRANCO;43242;42305;542
RIVAS;42851;42524;477
LARA;42290;41749;529
MERINO;42170;42642;468
ESPINOSA;41530;41131;369
CAMACHO;40928;40783;516
MENDOZA;40916;41014;897
VERA;40741;40468;531
IZQUIERDO;40613;40768;528
RIOS;40430;40714;314
ARROYO;39634;39897;426
CASADO;39456;39279;579
SIERRA;39241;39606;461
REDONDO;39208;40304;493
LUQUE;39116;39364;659
MONTES;38990;39571;448
REY;38945;38879;413
GALAN;38934;38230;409
CARRILLO;38623;38719;521
OTERO;38548;38148;678
SEGURA;38448;38150;464
HEREDIA;36949;37082;3358
MARCOS;36929;36041;419
BERNAL;36774;37448;455
SORIANO;36576;35982;354
ROBLES;36168;36801;480
MARTI;35897;34321;365
PALACIOS;35557;35412;379
VALERO;35470;35031;441
CONTRERAS;35432;35249;616
VILA;34841;33664;441
MACIAS;34772;34888;435
GUERRA;34757;35467;359
VARELA;34666;34379;755
PEREIRA;34509;31713;345
EXPOSITO;34494;37751;395
MIRANDA;33782;33002;310
ROLDAN;33746;33730;456
BENITO;33704;33952;507
MATEO;33533;33426;377
BUENO;33467;34608;395
ANDRES;33176;34142;492
GUILLEN;32965;33380;390
VILLAR;32544;33073;443
AGUILERA;32347;32356;619
ESCUDERO;31936;31438;582
SALAZAR;31879;31862;978
MATEOS;31797;31579;543
ACOSTA;31643;31746;533
PADILLA;31443;31732;469
CALDERON;31348;31035;324
RIVERO;31303;31235;412
CASAS;30937;29288;262
APARICIO;30744;29938;286
GUZMAN;30676;31063;435
